year_int,title_canonical,occurrences,year_total,share_pct
2015,quranic classes for weekend and basic islamic,43,212,20.3
2016,quran halaqa for women,53,323,16.4
2017,quran halaqa for women,40,205,19.5
2018,women morning quran halaqa,84,410,20.5
2019,women morning quran halaqa,58,445,13.0
2020,women morning quran halaqa,52,348,14.9
2021,food pantry,24,39,61.5
2022,kids quran class,44,154,28.6
2023,kids quran class,69,533,12.9
2024,bilal and cool islam arabic school,92,581,15.8
2025,preschool,50,451,11.1
2026,illustrated tajweed english,10,43,23.3
