title_canonical,occurrences
youth leadership club future stars,233
women morning quran halaqa,206
kids quran class,202
quran halaqa for women,192
bilal sunday school,159
illustrated tajweed english,148
lectures on seerah of prophet,136
ladies support group halaqa,103
sons of adam halaqa,103
sisters tajweed halaqah english,93
food pantry,90
arabic school at bilal,71
community pot lucks,69
quranic classes for weekend and basic islamic,64
imam toure s quran tafseer class,58
sisters tajweed halaqah bangla,56
exploring the quran with imam toure,55
free kids quran class over summer break,52
bilal and cool islam arabic school,47
ladies halaqa nights of light,46
ladies quran halaqa arabic speakers,42
homeschool gathering,41
lecture series on the seerah of prophet by sheikh yasir qadhi,40
homeschool group meets,37
homeschool classes,36
sunday school,34
bilal arabic school,24
preschool,24
cool islam summer camp,24
school tutoring c o sr shagufta,22
tutoring k 8,21
omma kids,19
women halqaa,15
quran class bilal c o adil,15
sons of adam youth group must be registered to attend,14
youth leadership class toastmaster,11
halaqa ladies,11
quran reading assembly,11
sisters halaqa ladies,11
toastmasters,11
embracing cultures a toastmasters club for women,11
human rights counsel meeting,10
prophet muhammad seerah lecture,10
toastmaster meeting,9
tutoring homework help,9
sfo jamat,9
lives of our prophet s,8
python coding workshop,8
omma kids halaqa,8
community iftar,7
community potluck dinner,7
after school homework help,7
esl tutoring,7
kids summer camp,6
jamat from malaysia,6
interfaith meeting,6
web development workshop,6
scrap booking,5
quran class,5
revert radiance sisters only,5
jamat from california,5
interfaith meting,5
homework help cool islam,5
lecture series on the seerah of prophet,5
daughters of eve weekly sisters halaqa level 1,5
visiting hafiz,4
quran halqaa for women friday halqa,4
daughters of eve story night open to all girls in the community age 15 and older,4
california jamat,4
jamat from ca,4
spring break camp for the kids,4
jamat from makkah,4
chess club,4
quran with teacher nevin,3
muslim leaders workshop,3
qsc halaqah 2025,3
ca jamat,3
homeschool group meeting,3
livecast lecture by imam toure,3
homeschool meeting,3
babysitting for al maghrib s class,3
livecast lecture by imam toure lecture with isgp,3
blood drive,3
blood drive at bilal,3
women halqaa in arabic,3
seattle jamat,3
test,3
muslim youth leadership program led by cair wa,2
bilal interfaith bazaar,2
scrapbooking hosted by sr rebecca,2
welcome ramadan camp kg 8,2
youth mental health training,2
youth mental health first aid training,2
aqiqah,2
youth night,2
quran halaqa,2
corbett middle school students visiting bilal nov 4 6,2
ladies jamat from seattle,2
jamat from qatar,2
corvallis jamaat,2
mas portland chapter open halaqa,2
daughters of eve story night,2
hosting catlin gable students,2
jammat from california,2
jesuit highschool students visit,2
ladies book club gathering,2
isgp science fair 1 4 pm,2
homeschool group,2
fundraiser done by sunday school students,2
family story night,2
grief support group,2
haqiqa party for syed irfan gillani s son,2
homeless food packing,2
indian american muslim council meeting,2
bangladesh visa passport renewal,2
bhs students visiting bilal mosque,2
dua,2
sql programming class,2
a timeless unbounded miracle of mercy unleashed,1
aasim biloo community event,1
abdul qavi s farewell dinner,1
abdul qavi s farewell dinner women s side,1
abdul rahman s dinner event,1
abdul rasheed wedding,1
afghan community gathering,1
al maghrib community event,1
almaghrib study session brothers,1
soa celebration juz 29 only for sons of adam registered boys,1
sons of adam boys halaqa ages 10 18,1
tafseer class with imam toure,1
talk on halal 401k investment,1
zaytuna speaker dr youssef ismail,1
arabic session for arabic speakers,1
arabic session for non arabic speakers,1
youth night high school,1
youth q a with sh hanif,1
zaytuna scholar prof munes tomeh lecture,1
aqeeqa aadam fahim,1
dr farajallah s talk and her book signing event,1
basketball team gathering,1
beaverton leadership arts and culture day,1
yasir qadhi event,1
year end party for doe soa,1
youth climate training,1
fiqh of chilling study group for brothers,1
first aid training,1
dua a for br gulzar s mother,1
dua for deceased families,1
dua for farha s mother,1
community potluck,1
community potluck dinner cool islam,1
condolences,1
girls itikaf night,1
greif counseling by dr omar reda,1
hafiz awais ameen,1
hajj camp,1
halakah,1
halaqa with mufti azad,1
helping hands for a fundraising event for indonesia,1
homeless lunch packibg,1
homeless lunch packing,1
farewell dinner for brother waseem men side,1
isgp solve clean up in beaverton,1
islamic chaplaincy training,1
islamic psychology and youth mental health,1
islamic studies for women,1
islamophobia,1
islamophobia workshop dtrategies for survival,1
fun with chemistry,1
duaa for farzana s mother,1
eesa hassan aqiqa,1
eid family get together,1
eid family night,1
eid farewell event,1
eid gathering celebration,1
eid gathering family celebration,1
farewell dinner for brother waseem women side,1
farewell event,1
farewell to maqdoom amer,1
farewell to our brother who is leaving pdx soon,1
farewell to parwez akhtar and family,1
fasting for self mastery,1
fatiha,1
hosting jesuit highschool teachers,1
hosting jesuit hs,1
huzaifa waleema party,1
icch fundraiser,1
icch sisters breakfast and conversation,1
imam joban,1
indian american muslim council iamc meeting,1
jesuit high school visiting,1
jesuit highschool meet and greet,1
jewish muslim mom evening event,1
just announcement by the dr omar after kutba,1
jvp movie screen at bilal,1
inside the heart of islam,1
interfaith conversation and tea hour,1
interfaith event,1
interfaith family,1
interfaith group meeting,1
