year_int,events,months,unique_programs,unique_days,events_per_month,events_per_week_est,events_prev,growth_pct,venue_bookings,avg_venues_per_event,notes
2015,209,9,20,126,23.2,4.0,,,210,1.0,Partial year coverage in archive
2016,319,12,52,236,26.6,6.1,209.0,52.6,322,1.01,
2017,191,11,46,154,17.4,3.7,319.0,-40.1,197,1.03,
2018,332,12,67,220,27.7,6.4,191.0,73.8,340,1.02,
2019,430,12,75,242,35.8,8.3,332.0,29.5,435,1.01,
2020,336,12,39,203,28.0,6.5,430.0,-21.9,342,1.02,
2021,39,12,5,37,3.2,0.8,336.0,-88.4,39,1.0,Low activity year or events moved off calendar
2022,144,12,14,119,12.0,2.8,39.0,269.2,154,1.07,
2023,442,12,27,275,36.8,8.5,144.0,206.9,529,1.2,
2024,353,12,34,202,29.4,6.8,442.0,-20.1,581,1.65,
2025,351,11,51,193,31.9,6.8,353.0,-0.6,447,1.27,
2026,41,4,6,27,10.2,0.8,351.0,-88.3,43,1.05,Partial year coverage in archive
